Disposal process 1 of 1
Begin with the calculation of Phase 1
Time [s] | x [m] | y [m] | z [m] |  u &  v &  w [m/s] |  a [m] |  b [m] |  c [m] | Sand[m³]| Silt[m³] | Clay[m³] | Masse [kg]  | Vol [m³] |rho[kg/m³]| Wirb | fluidC 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  0.6375 |  0.02 |  0.00 | 11.03 | 0.07 | 0.00 | 2.36 |  12.38 |  12.38 |   0.00 |   0.000 |  624.462 |  624.462 |  6059156.66 |  3965.44 |  1528.48 | 7.54 | 0.6841 
  0.6653 |  0.02 |  0.00 | 11.10 | 0.08 | 0.00 | 2.41 |  12.39 |  12.39 |   0.00 |   0.000 |  624.142 |  624.142 |  6075882.53 |  3982.68 |  1525.98 | 7.54 | 0.6856 
  0.6930 |  0.02 |  0.00 | 11.17 | 0.08 | 0.00 | 2.46 |  12.41 |  12.41 |   0.00 |   0.000 |  623.815 |  623.815 |  6093002.83 |  4000.33 |  1523.45 | 7.54 | 0.6871 
  0.7207 |  0.03 |  0.00 | 11.24 | 0.08 | 0.00 | 2.51 |  12.43 |  12.43 |   0.00 |   0.000 |  623.481 |  623.481 |  6110507.59 |  4018.38 |  1520.88 | 7.54 | 0.6886 
  0.7484 |  0.03 |  0.00 | 11.31 | 0.09 | 0.00 | 2.55 |  12.45 |  12.45 |   0.00 |   0.000 |  623.140 |  623.140 |  6128386.90 |  4036.81 |  1518.27 | 7.54 | 0.6901 
  0.7761 |  0.03 |  0.00 | 11.38 | 0.09 | 0.00 | 2.60 |  12.47 |  12.47 |   0.00 |   0.000 |  622.792 |  622.792 |  6146630.90 |  4055.62 |  1515.64 | 7.54 | 0.6917 
  0.8039 |  0.03 |  0.00 | 11.45 | 0.10 | 0.00 | 2.64 |  12.49 |  12.49 |   0.00 |   0.000 |  622.436 |  622.436 |  6165229.83 |  4074.79 |  1512.97 | 7.54 | 0.6932 
  0.8316 |  0.04 |  0.00 | 11.53 | 0.10 | 0.00 | 2.68 |  12.51 |  12.51 |   0.00 |   0.000 |  622.075 |  622.075 |  6184174.04 |  4094.32 |  1510.28 | 7.54 | 0.6948 
  0.8593 |  0.04 |  0.00 | 11.60 | 0.11 | 0.00 | 2.72 |  12.53 |  12.53 |   0.00 |   0.000 |  621.707 |  621.707 |  6203454.00 |  4114.20 |  1507.57 | 7.54 | 0.6964 
  0.8870 |  0.04 |  0.00 | 11.68 | 0.11 | 0.00 | 2.76 |  12.55 |  12.55 |   0.00 |   0.000 |  621.332 |  621.332 |  6223060.32 |  4134.41 |  1504.83 | 7.54 | 0.6980 
  0.9147 |  0.05 |  0.00 | 11.75 | 0.11 | 0.00 | 2.79 |  12.57 |  12.57 |   0.00 |   0.000 |  620.952 |  620.952 |  6242983.76 |  4154.95 |  1502.08 | 7.54 | 0.6996 
  0.9425 |  0.05 |  0.00 | 11.83 | 0.12 | 0.00 | 2.83 |  12.60 |  12.60 |   0.00 |   0.000 |  620.566 |  620.566 |  6263215.24 |  4175.81 |  1499.30 | 7.54 | 0.7012 
  0.9702 |  0.05 |  0.00 | 11.91 | 0.12 | 0.00 | 2.86 |  12.62 |  12.62 |   0.00 |   0.000 |  620.174 |  620.174 |  6283745.86 |  4196.97 |  1496.52 | 7.54 | 0.7028 
