Time [s] | x [m] | y [m] | z [m] | Loss of Sand, Silt, Clay in [m³] | fluid in % |  a [m] |  b [m] | 
---------------------------------------------------------------------------------------------------- 
Material loss due to stripping 
---------------------------------------------------------------------------------------------------- 
  8.4000 |  2.98 |  0.00 | 34.81 |      0.00 |      0.00 |     0.00 |     0.9229 |  13.83 |  21.22 | 
  8.6000 |  3.08 |  0.00 | 34.97 |      0.00 |      0.00 |     0.00 |     0.9248 |  13.42 |  21.82 | 
  8.8000 |  3.18 |  0.00 | 35.12 |      0.00 |      0.00 |     0.00 |     0.9267 |  13.02 |  22.43 | 
  9.0000 |  3.28 |  0.00 | 35.26 |      0.00 |      0.00 |     0.00 |     0.9285 |  12.64 |  23.05 | 
  9.2000 |  3.38 |  0.00 | 35.40 |      0.00 |      0.00 |     0.00 |     0.9302 |  12.27 |  23.69 | 
  9.4000 |  3.48 |  0.00 | 35.53 |      0.00 |      0.00 |     0.00 |     0.9319 |  11.91 |  24.33 | 
  9.6000 |  3.58 |  0.00 | 35.66 |      0.00 |      0.00 |     0.00 |     0.9335 |  11.57 |  24.99 | 
  9.8000 |  3.68 |  0.00 | 35.78 |      0.00 |      0.00 |     0.00 |     0.9351 |  11.25 |  25.65 | 
 10.0000 |  3.78 |  0.00 | 35.90 |      0.00 |      0.00 |     0.00 |     0.9366 |  10.93 |  26.32 | 
 10.2000 |  3.88 |  0.00 | 36.01 |      0.00 |      0.00 |     0.00 |     0.9380 |  10.64 |  26.99 | 
 10.4000 |  3.98 |  0.00 | 36.12 |      0.00 |      0.00 |     0.00 |     0.9394 |  10.35 |  27.67 | 
 10.6000 |  4.08 |  0.00 | 36.22 |      0.00 |      0.00 |     0.00 |     0.9407 |  10.08 |  28.35 | 
 10.8000 |  4.18 |  0.00 | 36.32 |      0.00 |      0.00 |     0.00 |     0.9420 |   9.82 |  29.03 | 
 11.0000 |  4.28 |  0.00 | 36.41 |      0.00 |      0.00 |     0.00 |     0.9432 |   9.58 |  29.71 | 
 11.2000 |  4.38 |  0.00 | 36.50 |      0.00 |      0.00 |     0.00 |     0.9444 |   9.34 |  30.38 | 
 11.4000 |  4.48 |  0.00 | 36.58 |      0.00 |      0.00 |     0.00 |     0.9455 |   9.12 |  31.06 | 
